時間[s] 推定速度[km/h] 実速度[km/h]
14.06118 0.0111911880758955 460.8
14.07342 0.0124659027102705 460.8
14.08544 0.0124659027102705 460.8
14.09703 0.0124659027102705 460.8
14.10916 0.0124659027102705 460.8
14.12099 0.0129802189602705 471.6
14.13299 0.0129802189602705 471.6
14.15303 0.0129802189602705 471.6
14.16569 0.0136417189602705 471.6
14.17737 0.0136417189602705 471.6
14.18905 0.0136417189602705 471.6
14.20107 0.0136417189602705 471.6
14.21301 1.27769430881002 482.4
14.22458 1.27769430881002 482.4
14.23643 1.27769430881002 482.4
14.24813 1.27769430881002 482.4
14.26007 1.27769430881002 482.4
14.27172 1.27769430881002 482.4
14.28362 1.27769430881002 482.4
14.29537 1.27769430881002 482.4
14.30767 1.32018347149405 482.4
14.3196 1.32018347149405 482.4
14.33254 1.32018347149405 482.4
14.34394 1.32018347149405 482.4
14.35626 1.32018347149405 482.4
14.36796 1.32018347149405 482.4
14.37962 1.32018347149405 482.4
14.39179 1.32018347149405 482.4
14.40454 1.32018347149405 482.4
14.41658 1.32018347149405 482.4
14.42838 1.32018347149405 482.4
14.44031 1.32018347149405 482.4
14.45281 1.37329492484908 493.2
14.46443 1.37329492484908 493.2
14.47715 1.37329492484908 493.2
14.4893 1.37329492484908 493.2
14.502 1.37329492484908 493.2
14.51349 1.37329492484908 493.2
14.526 1.37329492484908 493.2
14.53795 1.37329492484908 493.2
14.54987 1.37329492484908 493.2
14.56134 1.37329492484908 493.2
14.57367 1.37329492484908 493.2
14.58611 1.37329492484908 493.2
14.59772 1.37329492484908 493.2
14.6103 1.37329492484908 493.2
14.62191 1.37329492484908 493.2
14.63447 1.37329492484908 493.2
14.65434 1.37668241983817 493.2
14.66763 1.37668241983817 493.2
14.67908 1.37668241983817 493.2
14.6909 1.41449828648462 504
14.70363 1.41449828648462 504
14.71959 1.41449828648462 504
14.73151 1.41449828648462 504
14.74363 1.41927216697465 504
14.75607 1.41927216697465 504
14.76812 1.41927216697465 504
14.77955 1.41927216697465 504
14.79169 1.46232950786159 504
14.8035 1.46232950786159 504
14.81508 1.46232950786159 504
14.82698 1.46232950786159 504
14.8388 1.47408637924357 507.6
14.85046 1.47408637924357 507.6
14.86196 1.47408637924357 507.6
14.8733 1.47408637924357 507.6
14.88641 1.48626270741381 507.6
14.89795 1.48626270741381 507.6
14.9097 1.48626270741381 507.6
14.92132 1.48626270741381 507.6
14.933 1.49749927709005 507.6
14.94561 1.49749927709005 507.6
14.95727 1.49749927709005 507.6
14.96928 1.49749927709005 507.6
14.98123 1.51155898199738 511.2
14.99293 1.51155898199738 511.2
15.00557 1.51155898199738 511.2
15.01776 1.51155898199738 511.2
15.02935 1.55490716514582 518.4
15.04483 1.55490716514582 518.4
15.05629 1.55490716514582 518.4
15.0682 1.55490716514582 518.4
15.08065 1.56520016208669 518.4
15.09356 1.56520016208669 518.4
15.10542 1.56520016208669 518.4
